,,,,,,,,,,,,,,
数据模块,二级分类名称及排序,"数据模块（新）
二级页面分类，名称取-后面值",数据内容（一级）,数据内容（二级）,数据内容（三级）,数据内容（四级）,"数据来源：
①系统对接
②Excel导入/手动录入","数据更新频率
（年/季度/月/周）","实现优先级
（高、中、低）",首页指标标识（经营指标占2/3）,建议实现图形,对比结果,备注,第二轮修改情况
,资金3,经营数据-资金,,,负债期限结构,长期融资占比,Excel导入/手动录入,月,高,首页-核心指标3,以图形展示,,,
,资金3,经营数据-资金,,,,短期融资占比,Excel导入/手动录入,月,高,,,,,
投资运营,投资2,经营数据-投资,核心投资指标,可售房产面积总量   ,,,Excel导入/手动录入,月,高,首页-核心指标2,,,,
,投资2,经营数据-投资,,基金投资总额,,,Excel导入/手动录入,月,高,首页-核心指标2,,,,
,投资2,经营数据-投资,,股权项目总数量,,,Excel导入/手动录入,月,高,首页-核心指标2,,,,
,投资2,经营数据-投资,,基金项目总数量,,,Excel导入/手动录入,月,高,首页-核心指标2,,,,
,投资2,经营数据-投资,,投资回报率（ROI）,,,Excel导入/手动录入,月,高,首页-核心指标2,,,,
,投资2,经营数据-投资,投资指标趋势与对标分析,年度投资项目退出数量,年度投资项目退出明细,,Excel导入/手动录入,月,高,,,,,0211修改
,投资2,经营数据-投资,,年度退出收益总额,年度投资项目退出总额明细,,Excel导入/手动录入,月,高,,,,,0211修改
,投资2,经营数据-投资,投后运营与效益,投资公司管理,控股上市公司市值,,Excel导入/手动录入,周,高,首页-核心指标2,控股上市公司市值变化趋势图，末点显示数值,,,
,投资2,经营数据-投资,,,年度分红,,Excel导入/手动录入,年,高,首页-核心指标2,,,,
资产管理,资产4,经营数据-资产,集团物业资产规模,房产开发总建筑面积,已完工项目面积,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,,在建项目面积,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,,暂停项目面积,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,未开发土地面积,/,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,物业资产盘活,资产去化,可售房产面积总量,,Excel导入/手动录入,月,高,首页-核心指标4,,,,0211改名
,资产4,经营数据-资产,,,年度房产销售面积,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,年度房产销售额,,Excel导入/手动录入,月,高,首页-核心指标4,,,,
,资产4,经营数据-资产,,,年度房产销售目标,,Excel导入/手动录入,年,高,,,,,0211新增
,资产4,经营数据-资产,,,年度房产销售额完成率,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,其他去化方式完成额,大宗交易完成额,Excel导入/手动录入,不定期,高,,,,,0211新增，建议该指标设置显示开关
,资产4,经营数据-资产,,,,退地完成额,Excel导入/手动录入,不定期,高,,,,,
,资产4,经营数据-资产,,,,资产证券化完成额,Excel导入/手动录入,不定期,高,,,,,
,资产4,经营数据-资产,,资产运营,可出租房产面积,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,已出租面积,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,年度累计租金收入,,Excel导入/手动录入,月,高,首页-核心指标4,,,,
,资产4,经营数据-资产,,,物业总体出租率,,Excel导入/手动录入,月,高,首页-核心指标4,,,,
,资产4,经营数据-资产,,,办公物业出租率,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,厂房物业出租率,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,商业物业出租率,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,,,公寓物业出租率,,Excel导入/手动录入,月,高,,,,,
,资产4,经营数据-资产,产权管理,产权信息,全资子企业数量,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,,控股子企业数量,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,,参股企业数量,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,产权登记业务,办理产权登记家数,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,资产评估,年度资产评估报告完成数量,/,,Excel导入/手动录入,季,中,,,,,
,资产4,经营数据-资产,,年度资产评估涉及金额,/,,Excel导入/手动录入,季,中,,,,,
人力资源,人力7,非经营数据-人力,人员情况,集团总人数,/,,Excel导入/手动录入,月,高,首页-核心指标8,合并显示,,,
,人力7,非经营数据-人力,,各版块总人数,/,,Excel导入/手动录入,月,高,首页-核心指标8,,,,
,人力7,非经营数据-人力,,各上市公司总人数,/,,Excel导入/手动录入,月,高,,,,,
,人力7,非经营数据-人力,,集团入职人员数量,/,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,各版块入职人员数量,/,,Excel导入/手动录入,月,中,,,,,
